name,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
A Fischer,namsor_api_2.0.30,LATIN,3c629713-0c9a-45d7-a988-ce39c6b6afbf,A Fischer,male,-0.069214066,0.929013206,0.534607033
A Fischer,namsor_api_2.0.30,LATIN,4416dbfa-a404-4cec-93c9-224f6ed874a6,A Fischer,male,-0.069214066,0.929013206,0.534607033
A Furmanov,namsor_api_2.0.30,LATIN,a4b0d2e7-d926-4409-865c-091925cb7a05,A Furmanov,male,-0.355234581,3.155139945,0.67761729
A Gallo,namsor_api_2.0.30,LATIN,42417ad1-21f7-4303-bb61-819d9ed9e428,A Gallo,male,-0.062580141,0.610983376,0.531290071
A Gallo,namsor_api_2.0.30,LATIN,f3cc128d-59ab-4cf1-aa22-f6e2f8cd0e8a,A Gallo,male,-0.062580141,0.610983376,0.531290071
A Gallo,namsor_api_2.0.30,LATIN,1c1e171e-ed39-4c03-b5b2-569c1a3eddea,A Gallo,male,-0.062580141,0.610983376,0.531290071
A Gallo,namsor_api_2.0.30,LATIN,5025c798-4298-4c73-ae5b-6491b9583e8c,A Gallo,male,-0.062580141,0.610983376,0.531290071
A Gallo,namsor_api_2.0.30,LATIN,5bf8ece4-6bf9-4342-82f0-2c65e5bfe278,A Gallo,male,-0.062580141,0.610983376,0.531290071
A Ghaith,namsor_api_2.0.30,LATIN,ff4e6ce2-e16e-4fac-b439-83ef3941f0f3,A Ghaith,male,-0.05963425,0.479600096,0.529817125
A Ghaith,namsor_api_2.0.30,LATIN,badc676a-e832-4e33-b546-11a89865bb2f,A Ghaith,male,-0.05963425,0.479600096,0.529817125
A Ghigo,namsor_api_2.0.30,LATIN,5f92e2ac-ffb8-4098-acca-9a1f3e413141,A Ghigo,male,-0.059691473,0.482110474,0.529845736
A Ghuysen,namsor_api_2.0.30,LATIN,428dcf26-2148-4703-b624-d42b2891ffb7,A Ghuysen,male,-0.054362236,0.253546743,0.527181118
A Giribono,namsor_api_2.0.30,LATIN,3452d8c9-33b1-44bd-b1a9-c37f4eefa734,A Giribono,female,0.056181654,0.330551897,0.528090827
A Giribono,namsor_api_2.0.30,LATIN,e9180d7c-92dc-4d48-b176-f31aecd38b64,A Giribono,female,0.056181654,0.330551897,0.528090827
A Giribono,namsor_api_2.0.30,LATIN,2a6efdc8-8647-4525-8de7-80e0b39cd076,A Giribono,female,0.056181654,0.330551897,0.528090827
A Giribono,namsor_api_2.0.30,LATIN,87db31e4-000d-46f1-a99c-787d3a9d8fda,A Giribono,female,0.056181654,0.330551897,0.528090827
A Giribono,namsor_api_2.0.30,LATIN,f4e9435d-f7d7-4bb1-985f-0073189733a9,A Giribono,female,0.056181654,0.330551897,0.528090827
A Grelli,namsor_api_2.0.30,LATIN,1a6b235e-bdcf-4e75-92dc-f1493148e012,A Grelli,male,-0.062194831,0.593528335,0.531097416
A Guerguichon,namsor_api_2.0.30,LATIN,51f89d8a-29aa-4aba-814e-8b544c2ec84a,A Guerguichon,male,-0.058018725,0.409303486,0.529009362
A Habib,namsor_api_2.0.30,LATIN,42823c23-5c60-411b-873f-1645353f75d1,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,01cdf17b-5681-41b2-b2ab-771336915b99,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,0ad219d5-1c17-4b71-8849-857b392cd411,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,b0f5177c-85fd-43ef-9419-f03ab851de4b,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,062459c3-08bc-4828-b76e-8970c062a958,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,f114d9fd-8211-4a4b-b734-3b6155f0e14c,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,51a94b8f-03b1-4012-aa75-b910ba2ab9f7,A Habib,male,-0.162340825,1.470639901,0.581170413
A Habib,namsor_api_2.0.30,LATIN,9b60b810-5294-4ad9-97dc-81371103b2d3,A Habib,male,-0.162340825,1.470639901,0.581170413
