firstName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
A Gambadoro,namsor_api_2.0.30,LATIN,bff0dc21-aff4-4385-9ec6-903a1ff2434a,A Gambadoro,,male,-0.30553922005516854,1.7533301409924782,0.6527696100275843
A Garcia-Orad,namsor_api_2.0.30,LATIN,4c919081-d65f-4392-8f06-2a76c5255797,A Garcia-Orad,,male,-0.39723086620246506,2.450171918018924,0.6986154331012325
A Gardet,namsor_api_2.0.30,LATIN,47b23787-17bc-4ee9-b008-be42037c3a33,A Gardet,,male,-0.23876702837329145,1.4032943697793776,0.6193835141866457
A Gardet,namsor_api_2.0.30,LATIN,3679cec1-4807-4202-a5f3-354298468869,A Gardet,,male,-0.23876702837329145,1.4032943697793776,0.6193835141866457
A Gebhardtova,namsor_api_2.0.30,LATIN,6cfe6d53-1e43-4d12-93d2-f58d3e420143,A Gebhardtova,,female,0.3586136964204334,2.1097784479959643,0.6793068482102167
A Gelman,namsor_api_2.0.30,LATIN,bd63a731-72d6-4f62-afd3-655b9fa38ab5,A Gelman,,male,-0.9465323143649205,7.66051916861073,0.9732661571824602
A Geneslaw,namsor_api_2.0.30,LATIN,4ae86d01-c9d7-46b5-a57d-729ba3def98c,A Geneslaw,,male,-0.2924283509947947,1.6778548431702092,0.6462141754973973
A Geneslaw,namsor_api_2.0.30,LATIN,92a368ac-1def-4a90-a033-6d51dab4b416,A Geneslaw,,male,-0.2924283509947947,1.6778548431702092,0.6462141754973973
A Geneslaw,namsor_api_2.0.30,LATIN,5ca57bb0-a6f3-4d45-967c-ffc365ce7aeb,A Geneslaw,,male,-0.2924283509947947,1.6778548431702092,0.6462141754973973
A Geneslaw,namsor_api_2.0.30,LATIN,74f7df8c-14d7-4f81-8510-aad7941500db,A Geneslaw,,male,-0.2924283509947947,1.6778548431702092,0.6462141754973973
A Genthon,namsor_api_2.0.30,LATIN,0b49448b-9de9-452c-8839-ae17f2042c90,A Genthon,,male,-0.3591043235422786,2.113567611037215,0.6795521617711393
A Ghanchi,namsor_api_2.0.30,LATIN,e0cdff09-d8d6-445f-b5b1-b57e8748c683,A Ghanchi,,male,-0.577765211037196,3.944143248137401,0.788882605518598
A Ghoneimi,namsor_api_2.0.30,LATIN,a753d32d-3587-4770-a74b-fee9e6b27c81,A Ghoneimi,,female,0.0364132378540718,0.1913779784536124,0.5182066189270359
A Giannopoulos,namsor_api_2.0.30,LATIN,17e6e76f-d2f5-496a-9356-95b3870fa993,A Giannopoulos,,male,-0.3619824944166443,2.1360261013189827,0.6809912472083222
A Goloubev,namsor_api_2.0.30,LATIN,faba5523-aa88-41e7-bd96-8d574e2552f3,A Goloubev,,male,-0.42665197599543125,2.7959744823129284,0.7133259879977156
A Goodman,namsor_api_2.0.30,LATIN,4968bf79-d064-47f5-a19d-cbc67d6de4bb,A Goodman,,male,-0.9601270990082955,8.060457831541797,0.9800635495041478
A Goodman,namsor_api_2.0.30,LATIN,350b07bf-03f2-4530-afe7-1df7d409c628,A Goodman,,male,-0.9601270990082955,8.060457831541797,0.9800635495041478
A Goodman,namsor_api_2.0.30,LATIN,9bcaef37-46c9-4f64-a5f5-edbb350fad2e,A Goodman,,male,-0.9601270990082955,8.060457831541797,0.9800635495041478
A Gritsan,namsor_api_2.0.30,LATIN,385d7c5b-6885-4b21-a0e9-55139fc66fe9,A Gritsan,,male,-0.3696545859992675,2.1979175735738217,0.6848272929996337
